flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
340211	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340305	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340306	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340307	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
350496	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350497	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350592	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350593	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350594	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350688	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350689	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350690	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350691	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350785	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350786	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350787	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350788	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350881	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350882	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350883	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350884	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350977	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350978	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350979	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350980	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
350981	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351073	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351074	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351075	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351076	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351077	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351169	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351170	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351171	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351172	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351173	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351174	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351266	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351267	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351268	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351269	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351270	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
351362	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351363	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351364	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351365	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351366	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
351371	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
